# LrTDDFT
LDA LDA
0.001 1 1e-05 2
# KSSingles
289 float64
0.001
0 4  0 0  0.10068 2     -1.09878e-03 -2.85515e-03 -4.38950e-03   -1.18499e-03 -2.92937e-03 -4.41301e-03   -3.02958e-06 -3.57429e-06 -9.29565e-06
0 5  0 0  0.105045 2     2.96987e-03 -1.40402e-01 1.34685e-01   2.96604e-03 -1.41004e-01 1.35382e-01   1.44338e-04 2.53487e-04 3.40716e-04
0 6  0 0  0.105244 2     -5.29837e-02 -1.22569e-01 -1.25236e-01   -5.30139e-02 -1.23324e-01 -1.25909e-01   8.15154e-06 4.18449e-04 -3.28031e-04
0 7  0 0  0.113483 2     -1.03485e-01 2.02268e-02 2.21489e-02   -1.05006e-01 2.03361e-02 2.23029e-02   -2.88891e-06 -1.10905e-05 -5.61782e-07
0 8  0 0  0.118058 2     1.03062e-03 1.49291e-04 9.26188e-04   1.10937e-03 1.83183e-04 9.02718e-04   8.30690e-06 -5.83240e-07 1.12183e-05
0 9  0 0  0.122605 2     -4.51926e-04 -1.28056e-03 9.85924e-04   -4.62809e-04 -1.30371e-03 9.96487e-04   2.06116e-05 -1.44633e-06 -1.71717e-05
0 10  0 0  0.147403 2     1.64739e-01 -3.40212e-02 -3.86471e-02   1.60251e-01 -3.29834e-02 -3.74709e-02   1.84978e-06 1.56390e-05 -5.37792e-06
0 11  0 0  0.153529 2     1.18824e-03 3.65600e-02 -2.87551e-02   1.17644e-03 3.38099e-02 -2.66218e-02   -5.57382e-05 -1.16623e-04 -1.21238e-04
0 12  0 0  0.153722 2     1.67968e-02 2.58313e-02 3.32173e-02   1.66015e-02 2.37348e-02 3.05698e-02   2.82007e-06 -1.39378e-04 1.31213e-04
0 13  0 0  0.158203 2     5.67196e-04 -5.94506e-06 -7.68274e-05   9.31098e-04 5.05819e-05 -2.48796e-04   2.99562e-07 -5.97006e-06 8.36379e-07
0 14  0 0  0.160239 2     2.12748e-02 -2.79146e-03 -3.32119e-03   2.51843e-02 -2.79708e-03 -3.34711e-03   -4.88946e-07 -2.84603e-06 5.35035e-06
0 15  0 0  0.163721 2     -1.18379e-04 -3.34596e-03 2.75313e-03   -1.56847e-04 -6.41699e-03 5.69067e-03   5.26078e-05 8.29316e-05 9.15838e-05
0 16  0 0  0.163838 2     2.68456e-03 3.94230e-03 5.00918e-03   4.33123e-03 6.78900e-03 8.07773e-03   3.25259e-06 -9.92721e-05 8.83711e-05
0 17  0 0  0.165853 2     1.44283e-04 -1.36249e-04 -7.39387e-05   1.53121e-04 -5.85245e-04 4.04466e-04   1.81341e-04 -4.18678e-05 -5.14565e-05
0 18  0 0  0.179149 2     -6.51856e-03 -3.37235e-02 -4.30613e-03   -6.73225e-03 -3.66904e-02 -4.46329e-03   7.74698e-06 2.40170e-05 -1.57768e-05
0 19  0 0  0.179203 2     5.38580e-03 -4.61930e-03 3.34869e-02   5.56268e-03 -4.67702e-03 3.64162e-02   6.59081e-06 -1.30538e-05 2.05203e-05
0 20  0 0  0.183501 2     3.85225e-03 -6.22093e-04 -1.55234e-04   3.71590e-03 -5.54669e-04 -1.12656e-04   2.88551e-06 7.80936e-07 5.99713e-06
